START ITHAKI GPS TRACKI
$GPGGA,103625.000,4037.6496,N,02257.5406,E,1,09,1.1,40.8,M,36.1,M,,0000*66
$GPGGA,103626.000,4037.6498,N,02257.5400,E,1,09,1.1,40.9,M,36.1,M,,0000*6C
$GPGGA,103627.000,4037.6498,N,02257.5397,E,1,09,1.1,41.1,M,36.1,M,,0000*6D
$GPGGA,103628.000,4037.6498,N,02257.5397,E,1,09,1.1,41.0,M,36.1,M,,0000*63
$GPGGA,103629.000,4037.6498,N,02257.5395,E,1,09,1.1,41.1,M,36.1,M,,0000*61
$GPGGA,103630.000,4037.6498,N,02257.5390,E,1,09,1.1,41.1,M,36.1,M,,0000*6C
$GPGGA,103631.000,4037.6498,N,02257.5385,E,1,09,1.1,41.6,M,36.1,M,,0000*6E
$GPGGA,103632.000,4037.6497,N,02257.5384,E,1,09,1.1,41.8,M,36.1,M,,0000*6D
$GPGGA,103633.000,4037.6497,N,02257.5382,E,1,09,1.1,42.0,M,36.1,M,,0000*61
$GPGGA,103634.000,4037.6496,N,02257.5377,E,1,08,1.1,42.3,M,36.1,M,,0000*6F
$GPGGA,103635.000,4037.6495,N,02257.5372,E,1,09,1.1,42.4,M,36.1,M,,0000*6E
$GPGGA,103636.000,4037.6492,N,02257.5364,E,1,09,1.1,42.6,M,36.1,M,,0000*6F
$GPGGA,103637.000,4037.6489,N,02257.5353,E,1,09,1.1,42.5,M,36.1,M,,0000*63
$GPGGA,103638.000,4037.6486,N,02257.5340,E,1,09,1.1,42.2,M,36.1,M,,0000*66
$GPGGA,103639.000,4037.6484,N,02257.5329,E,1,09,1.1,42.2,M,36.1,M,,0000*6A
$GPGGA,103640.000,4037.6483,N,02257.5320,E,1,09,1.1,42.4,M,36.1,M,,0000*6C
$GPGGA,103641.000,4037.6482,N,02257.5316,E,1,09,1.1,42.4,M,36.1,M,,0000*69
$GPGGA,103642.000,4037.6482,N,02257.5316,E,1,09,1.1,42.4,M,36.1,M,,0000*6A
